acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),,124_o_f_d_a.png,I,space,5607,1,3,,,8032,VNB,A,0
1,prac,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),106516.0,071_y_f_n_a.png,I,m,751,2,3,1556.7000000178814,104959.29999998212,8032,VNB,A,1
2,prac,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),108498.5,165_m_m_h_a.png,I,m,1178,3,3,1973.0,106525.5,8032,VNB,A,2
3,prac,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),110431.59999999404,109_y_m_d_a.png,I,m,1111,4,3,1923.800000011921,108507.79999998212,8032,VNB,A,3
4,prac,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),112247.5,124_o_f_n_a.png,I,m,978,5,3,1806.1000000238419,110441.39999997616,8032,VNB,A,4
5,prac,1,1.0,1-Back,1.0,z,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),113864.0,109_y_m_n_a.png,I,z,794,6,3,1607.800000011921,112256.19999998808,8032,VNB,A,5
6,prac,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),116046.29999998212,039_o_m_h_a.png,I,m,1376,7,3,2173.0,113873.29999998212,8032,VNB,A,6
7,prac,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),117912.09999999404,139_m_f_d_a.png,I,m,1065,8,3,1856.5999999940395,116055.5,8032,VNB,A,7
8,prac,1,1.0,1-Back,1.0,z,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),120095.0,071_y_f_d_a.png,I,z,1366,9,3,2173.300000011921,117921.69999998808,8032,VNB,A,8
9,prac,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),121877.79999998212,165_m_m_n_a.png,I,m,977,10,3,1774.0999999940395,120103.69999998808,8032,VNB,A,9
10,prac,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),123594.09999999404,124_o_f_h_a.png,I,m,889,11,3,1707.2000000178814,121886.89999997616,8032,VNB,A,10
11,prac,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),125260.19999998808,109_y_m_d_a.png,I,m,886,12,3,1657.199999988079,123603.0,8032,VNB,A,11
0,test,1,0.0,1-Back,,,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),125260.19999998808,071_y_f_d_a.png,I,space,18896,1,3,1657.199999988079,123603.0,8032,VNB,A,0
1,test,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),153484.59999999404,139_m_f_n_a.png,I,m,930,2,3,1941.4000000059605,151543.19999998808,8032,VNB,A,1
2,test,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),155317.29999998212,039_o_m_h_a.png,I,m,812,3,3,1824.4000000059605,153492.89999997616,8032,VNB,A,2
3,test,1,1.0,1-Back,1.0,z,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),157599.69999998808,165_m_m_h_a.png,I,z,1252,4,3,2274.5999999940395,155325.09999999404,8032,VNB,A,3
4,test,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),159399.29999998212,124_o_f_n_a.png,I,m,769,5,3,1791.5,157607.79999998212,8032,VNB,A,4
5,test,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),161315.39999997616,109_y_m_d_a.png,I,m,898,6,3,1907.8999999761581,159407.5,8032,VNB,A,5
6,test,1,1.0,1-Back,1.0,z,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),163164.79999998212,139_m_f_d_a.png,I,z,821,7,3,1841.4000000059605,161323.39999997616,8032,VNB,A,6
7,test,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),164947.59999999404,071_y_f_h_a.png,I,m,757,8,3,1774.4000000059605,163173.19999998808,8032,VNB,A,7
8,test,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),166730.09999999404,039_o_m_n_a.png,I,m,766,9,3,1774.800000011921,164955.29999998212,8032,VNB,A,8
9,test,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),168646.39999997616,109_y_m_h_a.png,I,m,894,10,3,1908.0999999940395,166738.29999998212,8032,VNB,A,9
10,test,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),170429.19999998808,039_o_m_d_a.png,I,m,755,11,3,1775.0999999940395,168654.09999999404,8032,VNB,A,10
11,test,1,1.0,1-Back,1.0,z,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),172128.89999997616,124_o_f_d_a.png,I,z,668,12,3,1691.5999999940395,170437.29999998212,8032,VNB,A,11
12,test,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),174094.79999998212,165_m_m_n_a.png,I,m,935,13,3,1958.2999999821186,172136.5,8032,VNB,A,12
13,test,1,1.0,1-Back,1.0,z,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),176044.29999998212,071_y_f_n_a.png,I,z,922,14,3,1942.199999988079,174102.09999999404,8032,VNB,A,13
14,test,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),177760.39999997616,139_m_f_h_a.png,I,m,692,15,3,1708.0999999940395,176052.29999998212,8032,VNB,A,14
15,test,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),180026.39999997616,165_m_m_d_a.png,I,m,1233,16,3,2258.2999999821186,177768.09999999404,8032,VNB,A,15
16,test,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),182142.29999998212,109_y_m_n_a.png,I,m,1086,17,3,2108.0999999940395,180034.19999998808,8032,VNB,A,16
17,test,1,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),183908.39999997616,124_o_f_h_a.png,I,m,746,18,3,1758.199999988079,182150.19999998808,8032,VNB,A,17
0,test,2,0.0,1-Back,,,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),183908.39999997616,109_y_m_n_a.png,I,space,7396,1,3,1758.199999988079,182150.19999998808,8032,VNB,A,0
1,test,2,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),195021.5,071_y_f_h_a.png,I,m,679,2,3,1691.6000000238419,193329.89999997616,8032,VNB,A,1
2,test,2,1.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),197004.39999997616,039_o_m_n_a.png,I,m,962,3,3,1975.0,195029.39999997616,8032,VNB,A,2
3,test,2,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),199280.29999998212,139_m_f_d_a.png,I,m,1242,4,3,2267.2999999821186,197013.0,8032,VNB,A,3
4,test,2,0.0,1-Back,1.0,z,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),201086.19999998808,165_m_m_d_a.png,I,z,770,5,3,1793.0999999940395,199293.09999999404,8032,VNB,A,4
5,test,2,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),202835.69999998808,109_y_m_h_a.png,I,m,731,6,3,1741.699999988079,201094.0,8032,VNB,A,5
5,test,2,1.0,1-Back,0.0,z,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),204501.89999997616,124_o_f_h_a.png,I,m,646,7,3,1658.3999999761581,202843.5,8032,VNB,A,6
6,test,2,0.0,1-Back,1.0,m,Mon Nov 17 2025 14:13:32 GMT-0600 (Central Standard Time),206934.19999998808,139_m_f_n_a.png,I,m,1403,8,3,2424.5999999940395,204509.59999999404,8032,VNB,A,7
