task,subject_id,session,switch_cost,mixing_cost
ATS,7000,1,207.75318352059924,302.21267619614855
ATS,7001,1,253.56151553852692,365.2196557971015
ATS,7002,1,180.7388801674516,222.67507976570312
ATS,7003,1,166.63066012002184,258.94391025641016
ATS,7004,1,299.09915966386563,432.24514840182644
ATS,7005,1,243.38060825052708,258.15097402597405
ATS,7006,1,195.47413793103453,205.5153508771931
ATS,7007,1,339.18378378378384,469.47810469765125
ATS,7008,1,294.530749354005,256.39777131782944
ATS,7009,1,175.58915989159902,313.9041666666666
ATS,7010,1,238.18229715489986,321.9743589743589
ATS,7012,1,168.6121281464532,186.23939393939395
ATS,7013,1,172.5666666666666,127.7311673068715
ATS,7014,1,248.05719696969697,367.8598484848485
ATS,7015,1,-42.72326258843111,-131.2517857142857
ATS,7016,1,270.75905118601736,241.63141025641028
ATS,7017,1,266.2087719298246,378.19677428077
ATS,7018,1,188.17929292929296,162.2593560814529
ATS,7019,1,-9.19148936170211,-47.15972222222217
ATS,7020,1,231.86346986346996,292.8155467720685
ATS,7021,1,291.6751322751322,297.7952898550726
ATS,7022,1,167.61147186147184,314.4226907630523
ATS,7023,1,243.4206805125939,296.91989459815557
ATS,7024,1,209.91233766233768,247.69444444444446
ATS,7025,1,131.0115979381443,238.76096778418025
ATS,7026,1,138.28214616096204,180.17119565217388
ATS,7027,1,142.9738004121284,167.9366666666665
ATS,7028,1,95.6544235068668,169.0198529411765
ATS,7029,1,212.58901960784328,223.2338552751595
ATS,7030,1,151.489947089947,141.33942687747037
ATS,7031,1,152.05609756097556,274.1143892339544
ATS,7032,1,194.45040650406497,163.01235177865613
ATS,7033,1,125.46578947368425,265.5526960784315
ATS,7034,1,222.44303797468353,348.71826923076924
ATS,7035,1,262.54256410256414,378.73511904761904
ATS,7037,1,-107.92324561403518,-201.0363941769317
ATS,7039,1,189.05401844532275,239.69015151515146
ATS,7040,1,213.96428571428578,228.48768115942016
ATS,7041,1,327.1364970645793,409.4237155388471
ATS,7042,1,271.04269449715366,299.0202020202021
ATS,7043,1,271.8282160901672,328.2890025575448
ATS,7044,1,359.9867330016584,410.133152173913
ATS,7045,1,204.95284810126577,254.69913915222833
ATS,7046,1,68.65934065934061,72.67857142857133
ATS,7048,1,212.03900102634282,325.11141304347825
ATS,7049,1,194.36987179487187,346.3057511737089
ATS,7050,1,295.679012345679,426.0651297335203
ATS,7052,1,254.08536585365857,330.38333333333344
ATS,7053,1,262.9158829676071,312.6488095238095
ATS,7054,1,206.92312008978672,303.78450055035773
ATS,7055,1,193.36006683375115,182.81048470979817
ATS,7056,1,52.32727272727277,131.82142857142856
ATS,7057,1,104.8142857142858,85.05537098560353
ATS,7058,1,87.010137149672,103.73471014492759
ATS,7059,1,286.4589681903235,277.258152173913
ATS,7060,1,269.73330479452056,262.8582308352402
ATS,7061,1,210.9195652173912,214.77254901960794
ATS,7062,1,236.76700767263424,243.06069906223365
ATS,7063,1,276.1776098252244,361.7691511387163
ATS,7064,1,153.62261904761908,250.4508779264214
ATS,7065,1,145.0358056265984,229.00946969696952
ATS,7067,1,211.28137931034485,259.834403820817
ATS,7068,1,293.0927291886196,338.0478778467908
ATS,7069,1,257.18659252394184,253.52541208791217
ATS,7070,1,221.07264957264965,272.3256664078675
ATS,7072,1,165.9545454545455,244.32311320754718
ATS,7073,1,293.68138528138525,385.7583333333332
ATS,7075,1,207.57855048177635,250.7775974025974
ATS,7076,1,183.95866881374127,294.41666666666674
