task,subject_id,session,condition,count_correct
LC,8039,2,1,23
LC,8039,2,2,15
LC,8060,1,1,18
LC,8060,1,2,12
LC,8047,2,1,16
LC,8047,2,2,7
LC,8011,3,1,24
LC,8011,3,2,15
LC,8038,2,1,20
LC,8038,2,2,12
LC,8046,2,1,20
LC,8046,2,2,14
LC,8023,2,1,19
LC,8023,2,2,10
LC,8037,2,1,18
LC,8037,2,2,13
LC,9009,3,1,19
LC,9009,3,2,17
LC,8054,2,1,16
LC,8054,2,2,11
LC,9024,2,1,23
LC,9024,2,2,9
LC,8051,2,1,19
LC,8051,2,2,13
LC,8035,3,1,17
LC,8035,3,2,9
LC,8026,3,1,20
LC,8026,3,2,10
LC,9023,2,1,20
LC,9023,2,2,14
LC,8067,1,1,18
LC,8067,1,2,12
LC,9031,1,1,18
LC,9031,1,2,11
LC,8064,1,1,19
LC,8064,1,2,10
LC,8068,1,1,14
LC,8068,1,2,2
LC,7166,1,1,21
LC,7166,1,2,19
LC,7170,1,1,18
LC,7170,1,2,15
LC,7175,1,1,19
LC,7175,1,2,13
LC,7176,1,1,19
LC,7176,1,2,14
LC,7186,1,1,15
LC,7186,1,2,10
LC,7188,1,1,20
LC,7188,1,2,15
LC,7197,1,1,20
LC,7197,1,2,9
LC,7201,1,1,17
LC,7201,1,2,10
LC,7181,1,1,22
LC,7181,1,2,17
LC,7215,1,1,18
LC,7215,1,2,11
LC,7055,1,1,14
LC,7055,1,2,9
LC,7208,1,1,15
LC,7208,1,2,10
LC,7214,1,1,19
LC,7214,1,2,9
LC,7219,1,1,15
LC,7219,1,2,8
LC,7199,1,1,15
LC,7199,1,2,8
LC,7171,1,1,22
LC,7171,1,2,14
LC,7223,1,1,15
LC,7223,1,2,8
LC,7700,1,1,12
LC,7700,1,2,7
LC,7701,1,1,18
LC,7701,1,2,10
LC,9021,1,1,18
LC,9021,1,2,10
LC,9005,3,1,21
LC,9005,3,2,12
LC,8053,2,1,17
LC,8053,2,2,10
LC,8040,2,1,14
LC,8040,2,2,13
LC,8050,2,1,18
LC,8050,2,2,12
LC,8019,3,1,22
LC,8019,3,2,12
LC,8009,1,1,22
LC,8009,1,2,12
LC,9010,2,1,20
LC,9010,2,2,15
LC,9019,2,1,26
LC,9019,2,2,17
LC,9017,2,1,20
LC,9017,2,2,9
LC,8063,1,1,18
LC,8063,1,2,14
LC,8016,3,1,17
LC,8016,3,2,9
LC,8014,3,1,17
LC,8014,3,2,12
LC,9013,3,1,21
LC,9013,3,2,12
LC,8048,2,1,18
LC,8048,2,2,16
LC,8060,2,1,19
LC,8060,2,2,12
LC,8070,1,1,23
LC,8070,1,2,12
LC,7165,1,1,20
LC,7165,1,2,12
LC,7164,1,1,18
LC,7164,1,2,10
LC,7172,1,1,14
LC,7172,1,2,9
LC,7147,1,1,17
LC,7147,1,2,10
LC,7174,1,1,13
LC,7174,1,2,9
LC,7180,1,1,17
LC,7180,1,2,14
LC,7177,1,1,18
LC,7177,1,2,9
LC,7192,1,1,15
LC,7192,1,2,10
LC,7191,1,1,18
LC,7191,1,2,12
LC,7183,1,1,18
LC,7183,1,2,12
LC,7190,1,1,20
LC,7190,1,2,11
LC,7194,1,1,18
LC,7194,1,2,11
LC,7203,1,1,19
LC,7203,1,2,12
LC,7206,1,1,19
LC,7206,1,2,10
LC,7207,1,1,18
LC,7207,1,2,11
LC,7216,1,1,16
LC,7216,1,2,10
LC,7212,1,1,17
LC,7212,1,2,10
LC,7195,1,1,19
LC,7195,1,2,10
LC,7213,1,1,16
LC,7213,1,2,9
LC,7225,1,1,18
LC,7225,1,2,17
LC,7220,1,1,19
LC,7220,1,2,12
LC,7702,1,1,17
LC,7702,1,2,7
LC,9013,2,1,23
LC,9013,2,2,15
LC,9023,1,1,19
LC,9023,1,2,8
LC,9024,1,1,16
LC,9024,1,2,8
LC,9015,2,1,22
LC,9015,2,2,14
LC,8020,3,1,17
LC,8020,3,2,6
LC,8061,1,1,18
LC,8061,1,2,13
LC,8031,3,1,19
LC,8031,3,2,13
LC,8017,3,1,19
LC,8017,3,2,10
LC,8036,2,1,11
LC,8036,2,2,6
LC,8032,2,1,17
LC,8032,2,2,10
LC,8052,2,1,23
LC,8052,2,2,12
LC,8022,3,1,24
LC,8022,3,2,17
LC,8030,3,1,16
LC,8030,3,2,6
LC,9021,2,1,17
LC,9021,2,2,9
LC,8058,1,1,20
LC,8058,1,2,14
LC,8065,1,1,21
LC,8065,1,2,14
LC,8012,3,1,25
LC,8012,3,2,15
LC,8056,2,1,20
LC,8056,2,2,10
LC,9028,1,1,19
LC,9028,1,2,12
LC,1111,1,1,15
LC,1111,1,2,16
LC,7161,1,1,13
LC,7161,1,2,10
LC,7176,1,1,13
LC,7176,1,2,9
LC,7167,1,1,21
LC,7167,1,2,16
LC,7178,1,1,19
LC,7178,1,2,13
LC,7182,1,1,19
LC,7182,1,2,8
LC,7198,1,1,14
LC,7198,1,2,10
LC,7173,1,1,17
LC,7173,1,2,9
LC,7187,1,1,19
LC,7187,1,2,11
LC,7196,1,1,17
LC,7196,1,2,8
LC,7200,1,1,18
LC,7200,1,2,12
LC,7211,1,1,19
LC,7211,1,2,12
LC,7209,1,1,20
LC,7209,1,2,15
LC,7204,1,1,14
LC,7204,1,2,10
LC,7218,1,1,11
LC,7218,1,2,5
LC,7221,1,1,15
LC,7221,1,2,10
LC,7202,1,1,20
LC,7202,1,2,9
DSST,8048,1,0,1
DSST,8048,1,1,57
DSST,8056,1,0,1
DSST,8056,1,1,50
DSST,8039,2,0,1
DSST,8039,2,1,59
DSST,8060,1,0,1
DSST,8060,1,1,63
DSST,8047,2,0,1
DSST,8047,2,1,58
DSST,8011,3,0,1
DSST,8011,3,1,69
DSST,8038,2,0,1
DSST,8038,2,1,50
DSST,8046,2,0,1
DSST,8046,2,1,57
DSST,8023,2,0,1
DSST,8023,2,1,53
DSST,8037,2,0,1
DSST,8037,2,1,50
DSST,9009,3,0,1
DSST,9009,3,1,50
DSST,8054,2,0,1
DSST,8054,2,1,51
DSST,9024,2,0,1
DSST,9024,2,1,39
DSST,8051,2,0,1
DSST,8051,2,1,55
DSST,8035,3,0,1
DSST,8035,3,1,53
DSST,8026,3,0,1
DSST,8026,3,1,61
DSST,9023,2,0,1
DSST,9023,2,1,51
DSST,8067,1,0,1
DSST,8067,1,1,47
DSST,9031,1,0,1
DSST,9031,1,1,51
DSST,8064,1,0,1
DSST,8064,1,1,44
DSST,8068,1,0,1
DSST,8068,1,1,37
DSST,7166,1,0,1
DSST,7166,1,1,50
DSST,7170,1,0,1
DSST,7170,1,1,46
DSST,7175,1,0,1
DSST,7175,1,1,54
DSST,7176,1,0,1
DSST,7176,1,1,45
DSST,7186,1,0,1
DSST,7186,1,1,52
DSST,7188,1,0,1
DSST,7188,1,1,44
DSST,7197,1,0,1
DSST,7197,1,1,58
DSST,7201,1,0,1
DSST,7201,1,1,45
DSST,7181,1,0,1
DSST,7181,1,1,54
DSST,7215,1,0,1
DSST,7215,1,1,50
DSST,7055,1,0,1
DSST,7055,1,1,45
DSST,7208,1,0,1
DSST,7208,1,1,46
DSST,7214,1,0,1
DSST,7214,1,1,55
DSST,7219,1,0,1
DSST,7219,1,1,50
DSST,7199,1,0,1
DSST,7199,1,1,42
DSST,7171,1,0,1
DSST,7171,1,1,67
DSST,7223,1,0,1
DSST,7223,1,1,44
DSST,7700,1,0,1
DSST,7700,1,1,48
DSST,7701,1,0,1
DSST,7701,1,1,46
DSST,9021,1,0,1
DSST,9021,1,1,47
DSST,9005,3,0,1
DSST,9005,3,1,47
DSST,8053,2,0,1
DSST,8053,2,1,54
DSST,8040,2,0,1
DSST,8040,2,1,56
DSST,8050,2,0,1
DSST,8050,2,1,55
DSST,8019,3,0,1
DSST,8019,3,1,56
DSST,8009,1,0,1
DSST,8009,1,1,58
DSST,9010,2,0,1
DSST,9010,2,1,52
DSST,9019,2,0,1
DSST,9019,2,1,55
DSST,9017,2,0,1
DSST,9017,2,1,49
DSST,8063,1,0,1
DSST,8063,1,1,57
DSST,8016,3,0,1
DSST,8016,3,1,51
DSST,8014,3,0,1
DSST,8014,3,1,57
DSST,9013,3,0,1
DSST,9013,3,1,57
DSST,8048,2,0,1
DSST,8048,2,1,57
DSST,8060,2,0,1
DSST,8060,2,1,66
DSST,8070,1,0,1
DSST,8070,1,1,59
DSST,7165,1,0,1
DSST,7165,1,1,48
DSST,7164,1,0,1
DSST,7164,1,1,50
DSST,7172,1,0,1
DSST,7172,1,1,48
DSST,7147,1,0,1
DSST,7147,1,1,56
DSST,7174,1,0,1
DSST,7174,1,1,44
DSST,7180,1,0,1
DSST,7180,1,1,58
DSST,7177,1,0,1
DSST,7177,1,1,40
DSST,7192,1,0,1
DSST,7192,1,1,67
DSST,7191,1,0,1
DSST,7191,1,1,57
DSST,7183,1,0,1
DSST,7183,1,1,54
DSST,7190,1,0,1
DSST,7190,1,1,57
DSST,7194,1,0,1
DSST,7194,1,1,55
DSST,7203,1,0,1
DSST,7203,1,1,55
DSST,7206,1,0,1
DSST,7206,1,1,54
DSST,7207,1,0,1
DSST,7207,1,1,57
DSST,7216,1,0,1
DSST,7216,1,1,43
DSST,7212,1,0,1
DSST,7212,1,1,51
DSST,7195,1,0,1
DSST,7195,1,1,58
DSST,7213,1,0,1
DSST,7213,1,1,54
DSST,7225,1,0,1
DSST,7225,1,1,51
DSST,7220,1,0,1
DSST,7220,1,1,37
DSST,7702,1,0,1
DSST,7702,1,1,37
DSST,9013,2,0,1
DSST,9013,2,1,54
DSST,9023,1,0,1
DSST,9023,1,1,51
DSST,9024,1,0,1
DSST,9024,1,1,39
DSST,9015,2,0,1
DSST,9015,2,1,69
DSST,8020,3,0,1
DSST,8020,3,1,46
DSST,8061,1,0,1
DSST,8061,1,1,54
DSST,8031,3,0,1
DSST,8031,3,1,52
DSST,8017,3,0,1
DSST,8017,3,1,60
DSST,8036,2,0,1
DSST,8036,2,1,38
DSST,8032,2,0,1
DSST,8032,2,1,56
DSST,8052,2,0,1
DSST,8052,2,1,52
DSST,8022,3,0,1
DSST,8022,3,1,55
DSST,8030,3,0,1
DSST,8030,3,1,48
DSST,9021,2,0,1
DSST,9021,2,1,50
DSST,8058,1,0,1
DSST,8058,1,1,68
DSST,8065,1,0,1
DSST,8065,1,1,58
DSST,8012,3,0,1
DSST,8012,3,1,64
DSST,8056,2,0,1
DSST,8056,2,1,49
DSST,9028,1,0,1
DSST,9028,1,1,50
DSST,7161,1,0,1
DSST,7161,1,1,46
DSST,7168,1,0,1
DSST,7168,1,1,43
DSST,7167,1,0,1
DSST,7167,1,1,53
DSST,7178,1,0,1
DSST,7178,1,1,52
DSST,7182,1,0,1
DSST,7182,1,1,53
DSST,7189,1,0,1
DSST,7189,1,1,55
DSST,7173,1,0,1
DSST,7173,1,1,46
DSST,7187,1,0,1
DSST,7187,1,1,56
DSST,7196,1,0,1
DSST,7196,1,1,40
DSST,7200,1,0,1
DSST,7200,1,1,53
DSST,7211,1,0,1
DSST,7211,1,1,49
DSST,7209,1,0,1
DSST,7209,1,1,56
DSST,7204,1,0,1
DSST,7204,1,1,57
DSST,7218,1,0,1
DSST,7218,1,1,34
DSST,7221,1,0,1
DSST,7221,1,1,46
DSST,7202,1,0,1
DSST,7202,1,1,55
