Q,Q1,Q2,Q3,Q4,acc_sum,block,block_c,correct,correct_response,datetime,endtime,project,response,response_time,row_sel,session_number,squiggle1,squiggle1x,squiggle1y,squiggle2,squiggle2x,squiggle2y,squiggle3,squiggle3x,squiggle3y,squiggle4,squiggle4x,squiggle4y,start_end,starttime,subject_id,target_congruent,task,task_vers,testsquiggle,testsquigglex,testsquiggley,time_practice_delay,time_practice_fixation,time_practice_stimuli,time_practice_study,time_test_delay,time_test_fixation,time_test_stimuli,time_test_study,trial
1,1,0,0,0,1,prac,1,1,z,Mon May 19 2025 09:36:38 GMT-0500 (Central Daylight Time),157697.70000004768,I,z,1669,1,1,66.bmp,-120,-120,67.bmp,120,-120,68.bmp,-120,120,69.bmp,120,120,10493.799999952316,147203.90000009537,8042,yes,SM,C,66.bmp,-120,-120,151168,145140,153185,147153,,,,,1
3,0,0,1,0,1,prac,1,0,m,Mon May 19 2025 09:36:38 GMT-0500 (Central Daylight Time),168360.80000007153,I,z,1845,2,1,70.bmp,-120,-120,71.bmp,120,-120,72.bmp,-120,120,73.bmp,120,120,10659.200000047684,157701.60000002384,8042,no,SM,C,73.bmp,-120,120,161665,155638,163681,157650,,,,,2
4,0,0,0,1,1,prac,1,0,m,Mon May 19 2025 09:36:38 GMT-0500 (Central Daylight Time),179190.80000007153,I,None,2015,3,1,74.bmp,-120,-120,75.bmp,120,-120,76.bmp,-120,120,77.bmp,120,120,10826.5,168364.30000007153,8042,no,SM,C,74.bmp,120,120,172328,166301,174345,168313,,,,,3
2,0,1,0,0,2,prac,1,1,z,Mon May 19 2025 09:36:38 GMT-0500 (Central Daylight Time),189287.70000004768,I,z,1271,4,1,78.bmp,-120,-120,79.bmp,120,-120,80.bmp,-120,120,81.bmp,120,120,10093.100000023842,179194.60000002384,8042,yes,SM,C,79.bmp,120,-120,183158,177131,185175,179143,,,,,4
3,0,0,1,0,3,prac,1,1,z,Mon May 19 2025 09:36:38 GMT-0500 (Central Daylight Time),199167.80000007153,I,z,1055,5,1,82.bmp,-120,-120,83.bmp,120,-120,84.bmp,-120,120,85.bmp,120,120,9876.700000047684,189291.10000002384,8042,yes,SM,C,84.bmp,-120,120,193255,187227,195271,189240,,,,,5
1,1,0,0,0,4,prac,1,1,m,Mon May 19 2025 09:36:38 GMT-0500 (Central Daylight Time),209614.60000002384,I,m,1622,6,1,86.bmp,-120,-120,87.bmp,120,-120,88.bmp,-120,120,89.bmp,120,120,10443.600000023842,199171.0,8042,no,SM,C,89.bmp,-120,-120,203135,197107,205152,199121,,,,,6
2,0,1,0,0,4,prac,1,0,m,Mon May 19 2025 09:36:38 GMT-0500 (Central Daylight Time),220444.30000007153,I,None,2015,7,1,90.bmp,-120,-120,91.bmp,120,-120,92.bmp,-120,120,93.bmp,120,120,10826.600000023842,209617.70000004768,8042,no,SM,C,90.bmp,120,-120,213582,207554,215598,209567,,,,,7
4,0,0,0,1,4,prac,1,0,z,Mon May 19 2025 09:36:38 GMT-0500 (Central Daylight Time),231274.20000004768,I,None,2014,8,1,94.bmp,-120,-120,95.bmp,120,-120,96.bmp,-120,120,97.bmp,120,120,10826.0,220448.20000004768,8042,yes,SM,C,97.bmp,120,120,224412,218384,226430,220397,,,,,8
1,1,0,0,0,0,prac,2,0,z,Mon May 19 2025 09:36:38 GMT-0500 (Central Daylight Time),251051.5,I,None,2016,1,1,66.bmp,-120,-120,67.bmp,120,-120,68.bmp,-120,120,69.bmp,120,120,10826.899999976158,240224.60000002384,8042,yes,SM,C,66.bmp,-120,-120,244189,238161,246205,240174,,,,,1
3,0,0,1,0,1,prac,2,1,m,Mon May 19 2025 09:36:38 GMT-0500 (Central Daylight Time),261298.40000009537,I,m,1427,2,1,70.bmp,-120,-120,71.bmp,120,-120,72.bmp,-120,120,73.bmp,120,120,10243.700000047684,251054.70000004768,8042,no,SM,C,73.bmp,-120,120,255019,248991,257035,251004,,,,,2
